Account Type,Account Number,First Name,Last Name,Company Name,Address,City,Phone1,Phone2,Balance,
Saving,15592389,Paola,Vielma,Congress Title,58 Hancock St,Aurora,2147483647,2147483647,119000
Saving,15737173,Leanna,Tijerina,Stephenson Land Surveying,2859 Dorsett Rd,North York,2147483647,2147483647,367900
Saving,15632264,Danilo,Pride,Harry L Adams Incorporated,6857 Wall St,Red Deer,2147483647,2147483647,108000
Saving,15600882,Apolonia,Warne,Kitchen People,3 E 31st St #77,Fredericton,2147483647,2147483647,141000
Saving,15643966,Chandra,Lagos,Meredith Realty Group Inc,7 N Dean St,Etobicoke,2147483647,2147483647,61750
Saving,15788218,Gianna,Branin,All Brevard Cert Apprsls Inc,100 Main St,Calgary,2147483647,2147483647,78100
Saving,15661507,Valentin,Billa,General Color Co Inc,6185 Bohn St #72,Pangman,2147483647,2147483647,35650
Saving,15619304,Lourdes,Bauswell,Oklahoma Neon Inc,9547 Belmont Rd #21,Belleville,2147483647,2147483647,5000
Saving,15737888,Tom,Loeza,Sheraton Shreveport Hotel,447 Commercial St Se,LIle-Perrot,2147483647,2147483647,81600
Saving,15656148,Josefa,Opitz,Norman Gale Isuzu,136 W Grand Ave #3,Delhi,2147483647,2147483647,148800
